2025-03-09 17:43:21,998 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:22,999 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:23,999 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:25,000 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:26,001 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:27,001 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:28,002 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:29,003 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:30,004 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:31,005 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:32,006 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:33,007 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:34,007 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:35,008 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:36,009 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:37,009 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:38,010 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:39,011 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:40,012 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:41,012 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:42,013 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:43,013 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:44,014 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:45,026 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:46,027 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:47,028 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:48,029 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:49,029 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:50,030 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:51,031 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:52,032 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:53,032 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:54,033 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:55,034 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:56,034 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:57,035 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:58,037 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:43:59,038 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:44:00,039 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:44:01,040 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:44:02,041 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:44:03,042 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
2025-03-09 17:44:04,042 - ConnectServe - INFO - heart packages: {'ip': '192.168.6.130', 'mac': '00:0c:29:e6:d8:7e', 'softwares': []}
